,Film,Year,Location,latitude,longitude
0,1 Single,2006,"New York City, New York, USA",40.7127281,-74.0060152
1,15SecondScare,2015,"Coventry, West Midlands, England, UK",52.4081812,-1.510477
2,15SecondScare,2015,"West Hills, California, USA",34.2032325,-118.645476
3,15SecondScare,2015,"West Hills, California, USA",34.2032325,-118.645476
4,2WheelzNHeelz,2017,"Nashville, Tennessee, USA",36.1622767,-86.7742984
5,ATown,2014,"Town Lake, Austin, Texas, USA",30.26866735,-97.76299000801008
6,ATown,2014,"Texas Rowing Center, Austin, Texas, USA",30.272271000000003,-97.76893453598484
7,ATown,2014,"Mount Bonnell, Austin, Texas, USA",30.3207674,-97.7733474
8,ATown,2014,"Alamo Drafthouse Ritz, Austin, Texas, USA",30.26740345,-97.73958582383372
9,ATown,2014,"Barton Springs, Austin, Texas, USA",30.2587335,-97.7509521
10,ActorsLife,2016,"New York City, New York, USA",40.7127281,-74.0060152
11,BreakfastClub,2017,"New York City, New York, USA",40.7127281,-74.0060152
12,BreakfastClub,2017,"Los Angeles, California, USA",34.0536909,-118.242766
13,CaptchaLA,2017,"Los Angeles, California, USA",34.0536909,-118.242766
14,DayOff,2013,"New York City, New York, USA",40.7127281,-74.0060152
15,DearGeorgette,2015,"New York City, New York, USA",40.7127281,-74.0060152
16,Elmira,2014,"Elmira, New York, USA",42.0897965,-76.8077338
17,Fuga,2016,"Barra da Tijuca, Rio de Janeiro, Rio de Janeiro, Brazil",-22.9979553,-43.37311472822825
18,Hashtag Travel UK,2017,"England, UK",52.5310214,-1.2649062
19,Hashtag Travel,2017,"Hudson Valley, New York, USA",41.31611085,-74.12629189225156
20,Hashtag Travel,2017,"Cold Spring, New York, USA",41.4200938,-73.9545831
21,Hashtag Travel,2017,"Beacon, New York, USA",41.504879,-73.9696822
22,Hashtag Travel,2017,"Fishkill, New York, USA",41.5355745,-73.898702
23,Hashtag Travel,2017,"Wappingers Falls, New York, USA",41.5965635,-73.9112103
24,Hashtag Travel,2017,"Poughkeepsie, New York, USA",41.7065539,-73.9283672
25,Hashtag: The Series,2013,"Chicago, Illinois, USA",41.8755616,-87.6244212
26,Hashtag: The Series,2013,"Chicago, Illinois, USA",41.8755616,-87.6244212
27,KateConwayisaJerk,2015,"Toronto, Ontario, Canada",43.6534817,-79.3839347
28,KateConwayisaJerk,2015,"Gooderham Building, 49 Wellington Street East, Toronto, Ontario, Canada",43.648366800000005,-79.37439532076982
29,KateConwayisaJerk,2015,"Broadview Avenue, Toronto, Ontario, Canada",43.657091,-79.3490907
30,KillTorrey,2016,"Burbank, California, USA",34.1816482,-118.3258554
31,LakeShow,2012,"El Segundo, California, USA",33.917028,-118.4156337
32,LawstinWoods,2013,"Erin, New York, USA",42.1859079,-76.6699493
33,LawstinWoods,2013,"Corning, New York, USA",42.095532,-76.895482
34,LawstinWoods,2013,"Erin, New York, USA",42.1859079,-76.6699493
35,LawstinWoods,2013,"Erin, New York, USA",42.1859079,-76.6699493
36,LawstinWoods,2013,"Corning, New York, USA",42.095532,-76.895482
37,LawstinWoods,2013,"Erin, New York, USA",42.1859079,-76.6699493
38,LawstinWoods,2013,"Corning, New York, USA",42.095532,-76.895482
39,LawstinWoods,2013,"Poultney, Vermont, USA",43.5171364,-73.2363426
40,LdnOnt,2012,"London, Ontario, Canada",42.9832406,-81.243372
41,LoveMyRoomie,2016,"New York, USA",40.7127281,-74.0060152
42,LoveMyRoomie,2016,"Brooklyn, New York, USA",40.6526006,-73.9497211
43,Millennials,2015,"Los Angeles, California, USA",34.0536909,-118.242766
44,Mittelfingerspitzengefühl,2017,Germany,51.0834196,10.4234469
45,Mittelfingerspitzengefühl,2017,The Netherlands,52.24764975,5.541246849406163
46,MommasGotBars,2015,"Brooklyn, New York, USA",40.6526006,-73.9497211
47,Murder,2017,"Knoxville, Tennessee, USA",35.9603948,-83.9210261
48,MyCurrentSituation: Atlanta,2016,"Atlanta Georgia, USA",33.7489924,-84.3902644
49,MyCurrentSituation: Atlanta,2016,"Memphis, Tennessee, USA",35.1490215,-90.0516285
50,NerdNoise,2012,"Los Angeles, California, USA",34.0536909,-118.242766
51,Nightstrife,2014,"Chicago, Illinois, USA",41.8755616,-87.6244212
52,OscarTheOuch,2013,"Hollywood, California, USA",34.0980031,-118.329523
53,QuieroEseLook!,2013,"Rio Grande, Puerto Rico",18.3606321,-67.23687225928968
54,SmurTv,2016,"Roanoke, Virginia, USA",37.270973,-79.9414313
55,SmurTv,2016,"Charlotte, North Carolina, USA",35.2272086,-80.8430827
56,SmurTv,2016,"Atlanta, Georgia, USA",33.7489924,-84.3902644
57,SpongeyLeaks,2016,"Northridge, California, USA",34.2345615,-118.5369316
58,SpongeyLeaks,2016,"Northridge, California, USA",34.2345615,-118.5369316
59,Troublemakers,2013,"Wilmington, Delaware, USA",39.7459468,-75.546589
60,VanLifeAttila,2016,Canada,61.0666922,-107.991707
